donor_id,block_id,dataset_id,dataset_cell_count
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_28$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_28$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_28,86353
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_29$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_29$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_29,86351
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_3$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_3$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_3,93982
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_30$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_30$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_30,88223
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_31$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_31$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_31,87295
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_4$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_4$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_4,94650
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_5$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_5$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_5,95402
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_6$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_6$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_6,95869
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_7$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_7$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_7,94070
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_8$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_8$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_8,92446
https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_9$TEMP_DONOR,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_9$TEMP_BLOCK,https://data.humantumoratlas.org/publications/hta10_2025_tbd_rongduo-han#layer_9,92056
https://doi.org/10.1038/s41592-022-01651-8#esophagus$TEMP_DONOR,https://doi.org/10.1038/s41592-022-01651-8#esophagus$TEMP_BLOCK,https://doi.org/10.1038/s41592-022-01651-8#esophagus,45958
https://entity.api.hubmapconsortium.org/entities/c5334b682758b141c481f87ae010b537$TEMP_DONOR,https://entity.api.hubmapconsortium.org/entities/c5334b682758b141c481f87ae010b537$TEMP_BLOCK,https://entity.api.hubmapconsortium.org/entities/c5334b682758b141c481f87ae010b537,21232
https://entity.api.hubmapconsortium.org/entities/5b8a17e92defe510fa91b3a97a728831$TEMP_DONOR,https://entity.api.hubmapconsortium.org/entities/5b8a17e92defe510fa91b3a97a728831$TEMP_BLOCK,https://entity.api.hubmapconsortium.org/entities/5b8a17e92defe510fa91b3a97a728831,30547
